attr_1,attr_2,attr_3,attr_4,attr_5,attr_6,attr_7,attr_8,attr_9,attr_10,attr_11,attr_12,attr_13,attr_14,attr_15,attr_16,attr_17,attr_18,attr_19,attr_20,class
23,21,58,11,17,23,9,58,56,39,29,51,38,56,51,29,101,103,83,81,a11
24,24,58,15,24,24,13,58,58,41,31,51,41,58,51,32,104,104,93,93,a11
20,16,56,6,16,20,6,58,58,41,31,50,41,56,50,31,102,102,97,97,a11
24,19,58,12,22,24,13,58,58,40,36,48,40,58,48,36,101,101,100,100,a11
23,21,58,11,17,23,9,58,56,39,29,51,38,56,51,29,101,103,83,81,a11
24,24,58,15,24,24,13,58,58,41,31,51,41,58,51,32,104,104,93,93,a11
23,21,58,11,17,23,9,58,56,39,29,51,38,56,51,29,101,103,83,81,a11
24,24,58,15,24,24,13,58,58,41,31,51,41,58,51,32,104,104,93,93,a11
14,10,61,1,11,18,1,61,61,40,31,47,40,61,48,26,95,95,89,95,a11
18,11,61,1,11,20,2,61,61,40,31,47,40,61,48,27,97,97,90,96,a11
23,21,58,11,20,23,10,58,56,39,29,51,38,56,51,29,102,103,83,81,a11
24,22,58,13,21,23,13,58,58,39,29,50,39,58,50,29,100,100,89,89,a11
23,21,58,11,20,23,10,58,56,39,29,51,38,56,51,29,102,103,83,81,a11
24,22,58,13,21,23,13,58,58,39,29,50,39,58,50,29,100,100,89,89,a11
22,18,58,10,21,22,11,58,58,37,28,50,36,56,50,28,99,99,82,82,a11
26,28,58,15,28,26,16,58,58,38,32,51,38,58,50,30,101,101,89,86,a11
10,8,53,1,23,13,1,58,58,39,28,51,37,56,51,28,99,100,87,87,a11
15,9,55,1,28,17,3,58,58,41,29,51,41,56,51,31,103,101,97,98,a11
17,10,56,1,9,12,1,58,58,40,31,48,40,56,48,29,97,99,96,96,a11
17,10,56,1,9,13,1,61,58,40,33,48,40,56,48,31,97,97,95,95,a11
13,10,58,1,24,22,11,58,58,39,30,51,38,58,51,28,101,100,89,82,a11
20,17,58,6,32,27,18,58,58,41,33,51,41,56,51,31,105,103,98,98,a11
13,11,58,1,21,20,11,58,58,38,30,51,38,58,51,28,100,99,86,83,a11
15,12,58,1,28,22,12,58,58,38,30,51,38,58,51,28,102,101,88,83,a11
23,20,56,10,24,23,13,56,56,39,30,51,39,56,51,29,102,101,84,85,a11
26,28,58,16,34,28,19,58,58,41,34,51,40,58,51,33,103,103,95,93,a11
13,10,52,1,8,11,1,55,56,39,27,48,33,54,47,25,95,96,83,80,a11
15,10,55,1,10,15,1,58,58,40,30,47,38,56,46,28,95,96,95,91,a11
10,8,54,1,12,15,1,58,58,39,28,50,38,55,50,27,100,100,85,77,a11
12,8,58,1,14,17,2,58,58,39,28,51,39,58,51,27,101,100,85,87,a11
13,9,54,1,12,17,2,58,58,42,32,51,41,56,51,31,102,102,105,98,a11
17,11,58,1,14,18,2,58,58,41,31,50,40,56,50,31,102,101,97,97,a11
18,11,58,1,11,18,1,58,56,41,25,51,40,56,51,25,100,101,90,86,a11
24,24,58,13,28,24,15,58,58,41,31,51,40,58,51,31,103,104,93,87,a11
13,9,54,1,12,17,2,58,58,42,32,51,41,56,51,31,102,102,105,98,a11
17,10,55,1,11,18,1,58,58,40,33,48,40,54,48,33,99,99,97,97,a11
17,30,53,12,9,13,1,55,56,38,27,43,37,58,37,24,91,97,90,90,a11
20,34,58,16,10,17,1,61,61,39,33,45,39,58,40,29,92,98,96,96,a11
5,8,58,0,39,30,22,56,58,36,30,50,35,58,50,28,100,97,88,81,a11
5,9,61,0,38,32,22,58,58,36,31,49,36,58,48,29,101,96,89,83,a11
23,28,58,14,20,20,8,58,58,35,29,50,37,56,51,29,101,99,81,84,a11
28,34,58,19,28,23,14,58,58,35,31,50,38,58,51,32,102,101,86,90,a11
15,9,56,1,14,19,3,58,58,40,30,50,41,56,50,29,100,99,96,96,a11
13,9,58,1,15,20,6,58,58,40,30,50,40,58,50,30,100,99,94,96,a11
22,17,58,7,13,21,2,61,61,38,34,44,38,58,44,30,92,95,97,96,a11
23,19,61,8,14,23,2,61,61,38,34,43,38,61,43,32,93,95,97,97,a11
23,21,58,11,17,23,9,58,56,39,29,51,38,56,51,29,101,103,83,81,a11
24,24,58,15,24,24,13,58,58,41,31,51,41,58,51,32,104,104,93,93,a11
20,18,56,6,16,18,5,58,56,40,27,48,40,56,48,27,99,99,94,94,a11
