,attr_1,attr_2,attr_3,attr_4,attr_5,attr_6,attr_7,attr_8,attr_9,attr_10,attr_11,attr_12,attr_13,attr_14,attr_15,attr_16,attr_17,attr_18,attr_19,attr_20,attr_1,attr_2,attr_3,attr_4,attr_5,attr_6,attr_7,attr_8,attr_9,attr_10,attr_11,attr_12,attr_13,attr_14,attr_15,attr_16,attr_17,attr_18,attr_19,attr_20,class_a11,class_a12,class_a13,class_a14,class_a15,class_a16,class_a17,class_a18,class_a19,class_a20,class_a21,class_a22,class_a23,class_a24,class_a25,class_a26,class_a27,class_a28,class_a29,class_a30,class_a31,class_a32,class_a33,class_a34,class_a35,class_a36
21,31,90,44,29,40,100,100,38,46,100,100,43,50,100,100,47,100,61,62,100,31,90,44,29,40,100,100,38,46,100,100,43,50,100,100,47,100,61,62,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,30,47,39,28,39,100,100,37,44,100,100,42,49,75,76,46,100,58,59,100,30,47,39,28,39,100,100,37,44,100,100,42,49,75,76,46,100,58,59,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,31,75,41,29,40,100,100,37,45,100,100,42,50,76,77,46,100,59,60,100,31,75,41,29,40,100,100,37,45,100,100,42,50,76,77,46,100,59,60,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,29,47,39,28,39,100,100,36,44,100,100,41,48,75,76,45,100,59,60,100,29,47,39,28,39,100,100,36,44,100,100,41,48,75,76,45,100,59,60,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,31,90,44,29,40,100,100,38,46,100,100,43,50,100,100,47,100,61,62,100,31,90,44,29,40,100,100,38,46,100,100,43,50,100,100,47,100,61,62,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,28,34,33,27,37,68,49,35,43,100,100,41,49,86,100,46,100,58,100,66,28,34,33,27,37,68,49,35,43,100,100,41,49,86,100,46,100,58,100,66,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,28,35,33,27,37,100,49,35,43,100,100,41,49,89,100,46,100,64,100,76,28,35,33,27,37,100,49,35,43,100,100,41,49,89,100,46,100,64,100,76,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,29,38,37,29,38,100,51,36,44,100,100,42,49,85,87,46,62,68,80,59,29,38,37,29,38,100,51,36,44,100,100,42,49,85,87,46,62,68,80,59,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,29,40,38,29,38,100,52,37,44,100,100,43,49,86,88,48,90,71,86,64,29,40,38,29,38,100,52,37,44,100,100,43,49,86,88,48,90,71,86,64,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,30,100,31,24,39,100,41,29,45,100,46,32,49,88,50,31,61,69,75,23,30,100,31,24,39,100,41,29,45,100,46,32,49,88,50,31,61,69,75,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,29,100,31,24,39,100,42,29,45,100,47,32,49,90,51,31,100,70,100,23,29,100,31,24,39,100,42,29,45,100,47,32,49,90,51,31,100,70,100,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
